ip_address,domain,malware_hash,threat_type,description,label
47.20.122.184,tgul9e.tk,620841bfa1f2054215e4c2fe3cc8f208,phishing,Data exfiltration via DNS tunnelling detected,1
31.175.190.184,,,ransomware,n/a,0
40.234.71.230,,,brute_force,Botnet command-and-control beacon every 60 seconds,1
75.235.110.188,2d9s4mdxqj48x7.tk,,ransomware,Brute force SSH attempts from this IP,1
74.122.110.207,,,other,Phishing email targeting employees with fake login page,1
,,,phishing,not sure,0
202.16.28.100,tzpc1zhme78k6dc360.tk,,other,Data exfiltration via DNS tunnelling detected,1
119.10.101.94,,,data_exfiltration,not sure,0
,b28to0.cn,,other,Domain hosting exploit kit distributing malware,1
,,,command_and_control,,0
,aqtxq1e6hsj2lk.cc,,command_and_control,Malicious macro in Office document,1
30.121.60.230,04ancegq.cc,ceb03dfde78e502e279ed39f936dd9bb,ransomware,Data exfiltration via DNS tunnelling detected,1
208.116.138.86,143a5x0di9scwy1i3xc6.cc,6aaaa42518386ff3c04f4852c0e79453a45c29a2ef424f3e8011ca44cc5ca546,brute_force,Data exfiltration via DNS tunnelling detected,1
,cuki34gae9ft.cn,,command_and_control,Brute force SSH attempts from this IP,1
186.99.180.147,,,command_and_control,,0
142.247.204.221,,,other,n/a,0
101.164.196.98,fmey.cc,,malware,Drive-by download serving banking trojan,1
,,,denial_of_service,not sure,0
,,8cd8e7abd3350eae8f07832dc3b104cb,denial_of_service,,0
,,18c8085256a992470dc48a0296f2e461,other,Data exfiltration via DNS tunnelling detected,1
156.27.95.24,un2j9d.top,,brute_force,Phishing email targeting employees with fake login page,1
160.196.224.85,9cdw5oj6k0ngbh.buzz,43d35035bb92c64808a9af0980dd9f42928b2d07052503fdc9c31a3930b76f90,ransomware,Credential harvesting page impersonating corporate SSO,1
17.151.90.162,rsjn2445tksfe3g5ft.ru,5a4967a81d1bac3b1434a39e35e643f6345acde7e8e689bd8c11d3a24d58b0f9,other,Ransomware dropper detected in email attachment,1
236.31.99.245,,,other,Botnet command-and-control beacon every 60 seconds,1
218.226.134.124,em6c5nenss.top,,phishing,Ransomware dropper detected in email attachment,1
,1tcn3oykyfkj7tn.cn,,phishing,Domain hosting exploit kit distributing malware,1
59.233.218.70,sowf0e4yndhdvyqg.top,f8c7a6138628bf3015ec770e3f0444d7,data_exfiltration,Phishing email targeting employees with fake login page,1
,4u8193zgqa.buzz,,denial_of_service,Data exfiltration via DNS tunnelling detected,1
,i1ggbgdl77.org,,phishing,,0
,,ca4a8f1d70b2646f239009d21900f3499f27dea77005587182b417a9f873ee4e,denial_of_service,Botnet command-and-control beacon every 60 seconds,1
156.11.108.83,,,denial_of_service,,0
221.73.173.81,,6965afbe1d864e694a5ddaebd58c5c0a65ab82f0939e1156ff0beaeff97ff666,denial_of_service,Credential harvesting page impersonating corporate SSO,1
185.105.234.219,,,command_and_control,,0
9.34.39.183,ofikp7wnuvkm.xyz,0ff4be6a5de135cd6b19fb6278b20163b861c7c535d46aafc00bbde5ff2b9bcd,data_exfiltration,,1
65.253.177.74,36phb07d.xyz,,phishing,Brute force SSH attempts from this IP,1
,y520yy85q4wvvj.org,,brute_force,test,0
31.178.249.230,qmpomuypi76d.cc,,brute_force,Domain hosting exploit kit distributing malware,1
,1m2x.ru,,denial_of_service,Suspicious outbound traffic to known C2 server,1
8.236.10.93,z7wdl0wot2.top,fa05a836656f6229420a45ceaf279db9,ransomware,Data exfiltration via DNS tunnelling detected,1
,,,denial_of_service,asdf,0
113.67.8.237,,,brute_force,,0
153.162.83.250,,f7dd4d4583a79f3bb74f87eb18fa33385dd83073f33029a59a5fe9916e423482,phishing,Domain hosting exploit kit distributing malware,1
148.184.97.245,gtagnzeip2ez7ptsp.cn,6677e841f2621127aeb8178bff396086aa47f6313e519e93a689d58caa55bd83,ransomware,Domain hosting exploit kit distributing malware,1
,,605b75d3902e8598ac6d1ae301970a74d8de3a54f61f9a6ea61790ce32ea2faa,denial_of_service,Phishing email targeting employees with fake login page,1
12.185.86.245,6jef1vbz5awa4ol8.buzz,,brute_force,Botnet command-and-control beacon every 60 seconds,1
183.207.67.32,jmokwm8lbo0nwlvrd5j1.cc,6c76f85a711edfa9b542167b6bd305850fc8b2bcc7374411256c64443eaa5549,data_exfiltration,,1
,,,malware,123,0
206.75.227.54,,,data_exfiltration,asdf,0
,fzp3d03js7roa53.top,d7da5e388b0012bd4828336cece4a1511ab099fc15534e71b1223bc763fb138b,ransomware,Domain hosting exploit kit distributing malware,1
,1lys.gov,,brute_force,,0
,c5z4ygjjeydw3rlzr87.net,,command_and_control,not sure,0
80.10.57.59,,008185455575b20b5d58f68f7f21d5f30bf1d021c54e0a0287b260b87ec0ca83,malware,Domain hosting exploit kit distributing malware,1
29.52.132.38,,,malware,Ransomware dropper detected in email attachment,1
,,,brute_force,,0
163.68.57.173,,9e358442bbdf3f5262285a0307adeecb,other,not sure,0
246.138.209.171,,,brute_force,Botnet command-and-control beacon every 60 seconds,1
,,75f0b1f896f8a3ec341b9a4237b0f257,denial_of_service,Suspicious outbound traffic to known C2 server,1
,,,malware,test,0
216.137.222.53,,,ransomware,Botnet command-and-control beacon every 60 seconds,1
181.153.98.40,i1fdm27jp1ma02svr5.xyz,4bbf3b62de135831a164659c14674562,data_exfiltration,Botnet command-and-control beacon every 60 seconds,1
147.246.149.243,,5c4f76fad307dff3767d2fe9c4cdddfc27b92c7f82e1c2882f4eabde288cb45c,denial_of_service,Credential harvesting page impersonating corporate SSO,1
,fwjvpi3arfq0nnf.org,,malware,,0
59.104.32.69,zrmr.tk,aac2be4a1d6a913ce30441884688faf1d55b70463b4133bf98a8e4bf2e1b6b4c,malware,Domain hosting exploit kit distributing malware,1
43.75.87.192,,,phishing,Data exfiltration via DNS tunnelling detected,1
,,,command_and_control,ignore this,0
107.22.233.132,93mnamd.ru,25962b060783f43efa2b75a3ae280437793ee784ffda17fd8798cc04b99e900a,denial_of_service,Credential harvesting page impersonating corporate SSO,1
70.146.115.113,9wdsjjm60r.tk,b9efd671de3577ec8a18c823538e2381,malware,Data exfiltration via DNS tunnelling detected,1
11.247.158.117,v6al52f5w5y4esjkv4w.com,,denial_of_service,,0
239.60.38.80,,88a695578347d186c570b01be5d65915d3691d59dacf6d29ab5ed4fd265babf0,data_exfiltration,Malicious macro in Office document,1
,,39fa7c8c4ded9369750406acd774287e9b7b64fe094780129bce774d02fc5050,data_exfiltration,Ransomware dropper detected in email attachment,1
227.55.124.224,,3d31e9adba51adb66065f1a84c494755,ransomware,,0
47.30.236.91,635pis3sd.xyz,5491068694360fab10c5ca106c45a03f,denial_of_service,Brute force SSH attempts from this IP,1
90.36.177.29,02c3yew5gu.cc,44120c4d84187405844e113d4e96b75d,other,Phishing email targeting employees with fake login page,1
138.140.12.124,,08773fbf263db0d7346306ad74fe3e2f231703d2ae404f5b23b4af57d1b9388b,ransomware,Ransomware dropper detected in email attachment,1
,kbtwyrp2owuokpw.edu,,ransomware,,0
5.90.14.165,,bee790dae73ada38ff4138b9704e85cc,malware,Phishing email targeting employees with fake login page,1
,,,denial_of_service,just checking,0
69.116.43.20,orvkcgg9uly1.xyz,,other,Botnet command-and-control beacon every 60 seconds,1
153.167.131.86,,fdf105565f8daaff375d6e0e162183d460fc3f9708f1568e3a6b795470abc95e,brute_force,Botnet command-and-control beacon every 60 seconds,1
44.135.148.195,,,brute_force,Domain hosting exploit kit distributing malware,1
,hu0pmuf2wtc3.edu,,ransomware,,0
,67fbakk7xrk77vohf2.net,,phishing,,0
,,f84ab5ce6a41401000952a90845042ce,brute_force,Malicious macro in Office document,1
,,4cc5c38e98088ad6d95957b85618d786654f6c88058c33d7f1e70776bc272366,other,,0
,,d9104d311af12c811f226d34406ce7739655aaa1e1afe40447361fad793c6deb,denial_of_service,,0
188.243.245.171,,2dd7a976bd4c814d1a77808308380617,malware,,0
,qyf1x95aitt14u.ru,,brute_force,Credential harvesting page impersonating corporate SSO,1
,mjinrq.cc,,other,,1
,npkg9f.edu,,command_and_control,,0
,,,denial_of_service,asdf,0
170.241.163.105,,,denial_of_service,,0
190.182.195.97,wisaqwz7o75r.cn,,command_and_control,Data exfiltration via DNS tunnelling detected,1
239.89.213.138,,,brute_force,Ransomware dropper detected in email attachment,1
32.133.61.143,,,malware,Suspicious outbound traffic to known C2 server,1
,3b5icgjyq.cc,0cf1cd57954c133db63886685e6ec05e,denial_of_service,Phishing email targeting employees with fake login page,1
68.150.173.169,ccssrur4.com,,ransomware,,0
13.76.219.171,,,data_exfiltration,hello world,0
,,,denial_of_service,,0
,ib7d8k.cn,eaf048f0bbd62b4001079b36b2fbbe95,command_and_control,Phishing email targeting employees with fake login page,1
44.129.213.134,,,brute_force,Brute force SSH attempts from this IP,1
183.125.206.41,6wx4zarg.cn,,other,Brute force SSH attempts from this IP,1
,,133ac7f8321d54f84040ec9a62192fec,data_exfiltration,,0
,qkewsa0hr5h.cn,,command_and_control,Ransomware dropper detected in email attachment,1
,,,brute_force,Drive-by download serving banking trojan,1
8.68.234.175,36f3vupdd.cc,,brute_force,Suspicious outbound traffic to known C2 server,1
138.184.115.112,,c242e34fa811b4e8018bf8746ab7a2c3,command_and_control,Data exfiltration via DNS tunnelling detected,1
88.43.125.134,,,command_and_control,Credential harvesting page impersonating corporate SSO,1
203.196.83.135,,a362ec49614e84b87e905f92292d7f22,denial_of_service,Drive-by download serving banking trojan,1
236.27.124.95,7oxd1tzc5j8tfd1d3h7.ru,,data_exfiltration,,1
,,,malware,,0
,,,brute_force,Data exfiltration via DNS tunnelling detected,1
,,,brute_force,,0
214.155.185.176,,,malware,Ransomware dropper detected in email attachment,1
46.1.138.233,,1eac4bc1d0c2935ef99ca2d763c16dbb3c485070aee0683071f1a170e6800bba,command_and_control,Drive-by download serving banking trojan,1
146.147.103.211,lg45qtq10zbq9pxls.ru,a294c64d744a829b334a2f2f5596b479,phishing,Data exfiltration via DNS tunnelling detected,1
59.193.115.70,2lk4ag05nzdh5t.cn,,denial_of_service,Malicious macro in Office document,1
,4o2e3pchm2jt.net,9e5bd9e8eaa4782872d42067b297b2dc,data_exfiltration,,0
,,,phishing,,0
247.189.28.186,3mi6gqyav.xyz,a11714ce1ffae4cd51b887fd3d802000,phishing,Suspicious outbound traffic to known C2 server,1
11.88.89.101,,e30f98dbb78d3adabae829c5de0d0acf3e6923d59ef3f88d60b3f3aea954da21,other,Ransomware dropper detected in email attachment,1
,,,brute_force,Domain hosting exploit kit distributing malware,1
25.79.218.197,,,malware,n/a,0
63.178.121.44,,089936d780138e6bdf820c7847e6d9f0,phishing,,0
,,,other,,0
,,,brute_force,Malicious macro in Office document,1
,,,brute_force,,0
172.115.169.197,,8b8787fd55c64017ea99e0424c0de7ae,data_exfiltration,,1
24.115.193.99,,,command_and_control,Phishing email targeting employees with fake login page,1
44.212.141.205,vzder5qpyg5vd3g.cc,,other,Suspicious outbound traffic to known C2 server,1
173.192.145.13,,,malware,Drive-by download serving banking trojan,1
76.236.18.24,npv938xk7ku03ltgbhci.buzz,4c89c6fa58f95eced041922a6751ac2043ceb02972ff39820081478d6e1a3abf,command_and_control,Drive-by download serving banking trojan,1
,k61fhn4j0m7akz.edu,,command_and_control,,0
108.193.109.208,,965e82318cdf3049df3a942135482c5c11dc84f9c184f2e0840c5c31b3a78d6e,data_exfiltration,Botnet command-and-control beacon every 60 seconds,1
243.66.212.81,pxut13xy.ru,,ransomware,Phishing email targeting employees with fake login page,1
,z4ixeadm5zroqmiviqf.buzz,,phishing,Drive-by download serving banking trojan,1
,,,malware,Domain hosting exploit kit distributing malware,1
,6ojsxse15vv7k6p9u.edu,,brute_force,,0
109.60.121.155,93gqflhqezkx5.cc,,denial_of_service,Drive-by download serving banking trojan,1
178.121.158.249,,,command_and_control,Credential harvesting page impersonating corporate SSO,1
38.44.220.150,9xkfid4gw2s9pq.top,4b7c7754ffaa79562a33a9c0371aea1141e63a74dab9c41950bdfce078f2580e,ransomware,Phishing email targeting employees with fake login page,1
69.181.66.134,,524afebbfce15c47061d25d6a17395ce,data_exfiltration,Drive-by download serving banking trojan,1
117.9.221.123,hwgo4exnzxpytp56we.buzz,,phishing,Credential harvesting page impersonating corporate SSO,1
156.35.186.31,ehqhzg8smjppiwvg.cc,,ransomware,Data exfiltration via DNS tunnelling detected,1
242.235.132.231,wj43anmc2twvh.top,,ransomware,Malicious macro in Office document,1
173.14.233.140,,,data_exfiltration,,0
157.143.40.27,,35bdf34becbf350e73c575cdf7173b00e544ea3cefa437355287f76d3ae6956d,data_exfiltration,,0
,,,denial_of_service,,0
128.223.111.99,,b6d2882de7fb11b71534b212d2ebe26c3bc6aa4a9ca9b8fcabb13ef639d9fb48,malware,123,0
210.145.254.182,,2439b634ca5c63f74a2c669fa56c821166bced4b1a6e22a1cb9ccd0f69f60255,other,Domain hosting exploit kit distributing malware,1
,,,data_exfiltration,Ransomware dropper detected in email attachment,1
,c9jkao5n7kyr59m9.cn,,command_and_control,Data exfiltration via DNS tunnelling detected,1
,,e6b3b3a0d8bb2a337ca6cb7c05a8fca7f20384385a14d58c685c9c3c1ee798e1,denial_of_service,,0
,,,command_and_control,,0
182.213.129.120,,94fe049e1cd113c54b41fa3ccfbb9389100a6e6b0414094241b5718b425eac8e,ransomware,,1
171.104.117.24,,9da235ab2c028a1d95c20349a7f6deba47f0f915deaaa24a4d51c6eb604e62c3,ransomware,Brute force SSH attempts from this IP,1
55.39.6.138,,,malware,Botnet command-and-control beacon every 60 seconds,1
77.159.37.18,ra1of56q9vkr.xyz,c1fd514caeed8fc7f6f99de1c4de467e,malware,Phishing email targeting employees with fake login page,1
,,1dbe717321bb9e5e789c93ca1e287e2e7aa44fa63dc26540fcf96d926b405dab,command_and_control,,1
,tbewt30z.com,,data_exfiltration,,0
95.189.71.42,rts4616p91fawni.buzz,aa51e2260ccff9941bb26ae6bb8bcf4b,brute_force,,1
,,20304be9027e167b8fd89c19d0538e8b3177974cb0ce63f9ca6b82d4c33ad913,ransomware,,0
,,,phishing,,0
212.4.33.190,iyzh03ufma.org,,command_and_control,,0
,5iv0idfy1mqkv9b.top,405974afaae73e35ce699c28a8c197c278f8c17accee85cf45abd201b8742aa3,command_and_control,Ransomware dropper detected in email attachment,1
71.129.91.138,gl4w3solesomt.top,5d2094e14facc974b7ff086c7254aada8e6d4919e3bc8444b9dcdefb703561e9,denial_of_service,Domain hosting exploit kit distributing malware,1
198.228.249.50,yqst3.edu,,denial_of_service,,0
,,,denial_of_service,,0
,,ad63c5da0aca22158ffb7868f3fb94d4,other,Malicious macro in Office document,1
,,,other,n/a,0
,,,command_and_control,,0
,,,denial_of_service,,0
126.73.35.103,,,data_exfiltration,Botnet command-and-control beacon every 60 seconds,1
250.144.101.217,agvdf7xt2l9l853.tk,,ransomware,Data exfiltration via DNS tunnelling detected,1
253.56.74.103,,,data_exfiltration,Botnet command-and-control beacon every 60 seconds,1
119.52.205.234,,,data_exfiltration,,1
,,bef5080cc2207ff72b1d3ba6d0b6b4a78a91d183ec5a8d29e03527807f019698,other,hello world,0
1.48.39.129,,04cc264ee2a296b9ac63a26e33be3218,other,,1
203.38.100.125,xgc4w97qk4.gov,,other,unknown,0
20.69.131.124,,,brute_force,,0
17.158.106.159,hpank.ru,17fd194ef9a05f3894483e2f2a2ad4798b947b71862655d61b92687184ef123c,denial_of_service,Domain hosting exploit kit distributing malware,1
3.187.72.139,,,brute_force,,0
,3bcg75a9mn2h9165l2l.xyz,2bdc278ab6b4b898281af568c1069329,phishing,,1
11.33.80.67,,,other,Ransomware dropper detected in email attachment,1
,,,other,,0
90.200.52.24,,,other,,0
20.176.165.121,rbiahw3nbllw.top,,command_and_control,Botnet command-and-control beacon every 60 seconds,1
169.173.245.227,,b74932e284e1c6af56ef4fe3b427ee93f48775df9ff4228463024f225777a9b9,malware,Botnet command-and-control beacon every 60 seconds,1
,,,malware,,0
,,,other,Credential harvesting page impersonating corporate SSO,1
,,2b76dc935faa173df2c8b21880e5853dea742f9f5c465c717e7bb5dcdb73eca1,malware,,0
,,,denial_of_service,unknown,0
186.48.241.51,jhgb0r7.com,,command_and_control,,0
114.188.69.80,r40u.cn,d949700b24b6177354285e549dc7805c681c7ee79425f53bc57a69a8469709c9,denial_of_service,Malicious macro in Office document,1
,18l9.edu,,other,,0
,,,ransomware,test,0
247.76.248.10,,,other,Ransomware dropper detected in email attachment,1
,,,ransomware,,0
128.105.103.20,rh65pfpjmh3r5thzzqz3.top,01f8be356c113e8877093045e6ab6b25,other,Credential harvesting page impersonating corporate SSO,1
206.17.112.23,,06f823d8e2374e00b068070a1cb227564db88db6c2b7f9308a8a2b336ec65d58,command_and_control,Data exfiltration via DNS tunnelling detected,1
212.67.172.15,9u52bg.gov,,command_and_control,,0
51.60.180.169,fs3tj.cc,,command_and_control,Domain hosting exploit kit distributing malware,1
159.245.213.90,wf5q8rdhrc.cn,,phishing,Suspicious outbound traffic to known C2 server,1
,q0wt7ocqely.xyz,30cde54d12041608c6c5aacce755adbf32fda30d9b7781cc88fc37b47f74a562,data_exfiltration,Ransomware dropper detected in email attachment,1
,,a154603ba27b265051d9fec6ce30c07e,malware,n/a,0
63.77.179.106,tx03gshiyydgqt.xyz,16a7356f1d009f9f4724b19d061c5293,denial_of_service,Drive-by download serving banking trojan,1
,,1c90273327d0b79fb71530942a78bea83c505a26b749ce12708bed90083a53e5,phishing,Ransomware dropper detected in email attachment,1
,,,data_exfiltration,,0
,o0df.cn,c960547d0a61ac74b4e283e7e3d6acbc,denial_of_service,Domain hosting exploit kit distributing malware,1
,mmk9o3lm7rte6nve2.buzz,,denial_of_service,Brute force SSH attempts from this IP,1
208.11.11.33,gafo76lu7nrbnup.buzz,,ransomware,Ransomware dropper detected in email attachment,1
6.194.57.41,38vq0wu.xyz,ab4cca3d8d76ed43cad2fd81ea2a32b4cf4056bd68256ef07487c1ba7718f907,denial_of_service,Domain hosting exploit kit distributing malware,1
82.97.80.61,,,brute_force,Malicious macro in Office document,1
,brvdnncgjxjzu.net,,malware,,0
116.106.233.111,rnabw11quq1up5.edu,,malware,,0
,,,other,ignore this,0
,,,other,Credential harvesting page impersonating corporate SSO,1
184.64.14.187,cx4lhnsd.buzz,,denial_of_service,Brute force SSH attempts from this IP,1
,,,phishing,,0
,,,denial_of_service,just checking,0
,w8gp7dzvsxd2w4c.tk,adabf6b6594c2bcfccd95d83d798a2e950f4b55f29ca77f6ae66deae6c572a78,ransomware,Credential harvesting page impersonating corporate SSO,1
223.236.42.224,,,ransomware,Domain hosting exploit kit distributing malware,1
,,,denial_of_service,,0
,,,denial_of_service,hello world,0
,,,data_exfiltration,n/a,0
,,,malware,,0
78.237.100.247,mmoxo.buzz,45b4d46c1c11ac800a292cb66207c701afeeb50d897e24ba3f2f91684e589936,other,Phishing email targeting employees with fake login page,1
223.20.166.2,,,denial_of_service,Ransomware dropper detected in email attachment,1
,a06oc.edu,fa6871ef466223b3541caa245a1e5b54,other,,0
167.180.174.55,5f02ja1237irj8m12cs3.tk,08e02dfd35ea9adb5d70dc58536100eb,data_exfiltration,Phishing email targeting employees with fake login page,1
,,,phishing,Phishing email targeting employees with fake login page,1
,j8zsr0qk.cc,,phishing,Suspicious outbound traffic to known C2 server,1
,c5bcvyr4nfc3wxtxebi.ru,db82d046cab3dfa8f28b7cbb07027760,brute_force,,1
103.70.218.211,r7smgll1qs7rilzu.xyz,992450c1b371c1eb1548e460af010a81030dd162e7d827a6dd29d2515b6f7169,phishing,Drive-by download serving banking trojan,1
,,ccc4a46d22e74e7e3c224c53100dcb389dda5aeed52d820e0115d62ab5591497,data_exfiltration,,0
29.248.252.113,v0wbdwrx9cn8q.buzz,7f3316f0f87b03a7ef06a65202db1574c14849fa00cf7c51089eef8dad40541e,phishing,Ransomware dropper detected in email attachment,1
,3mhcwtp7s82.xyz,,denial_of_service,Suspicious outbound traffic to known C2 server,1
32.209.159.214,,,command_and_control,Malicious macro in Office document,1
,o57ddf111j.edu,,other,123,0
,,30c076f6abb805f64d82084e36fb29cfb4c2bc750fb163732155943291addc52,other,,0
178.241.134.154,c8z8i.tk,,command_and_control,Domain hosting exploit kit distributing malware,1
,usyzwer632il6.com,,brute_force,,0
112.1.41.10,xp88r0.top,,command_and_control,Credential harvesting page impersonating corporate SSO,1
,sta3aq7zuzm.net,,ransomware,123,0
196.89.79.47,,8205ee5beec8f05aa173435b32f6a6bc,other,Suspicious outbound traffic to known C2 server,1
,,3aea5008bb6a4a3dbb6497659935a35a5a98248cb9c1c9d9e054b965b7e18bca,data_exfiltration,,0
,,92d38d1ac4ea09f37426250e06b6e72f,phishing,Botnet command-and-control beacon every 60 seconds,1
127.209.23.192,,,brute_force,,0
220.61.0.208,,,malware,Suspicious outbound traffic to known C2 server,1
,c4yqk7w9ofi9x.top,,malware,Malicious macro in Office document,1
47.214.252.56,foi64bhm2.tk,,denial_of_service,Domain hosting exploit kit distributing malware,1
31.142.82.31,cjd3yg8mbvk7rr6z4lo.cn,,data_exfiltration,Phishing email targeting employees with fake login page,1
243.235.253.113,mmrgpntbxp81nir.xyz,fa71ae0ee4f2d06e4eefb0d66b1424956d81099e0ef8175908a409404a4872d3,brute_force,Botnet command-and-control beacon every 60 seconds,1
184.220.52.147,,,malware,Phishing email targeting employees with fake login page,1
16.113.149.133,qqjot5aeqt.tk,,other,Phishing email targeting employees with fake login page,1
221.23.241.114,446lago6c2s2t.xyz,,brute_force,Brute force SSH attempts from this IP,1
,,,brute_force,,0
,,0c5e84a5e99c21ae347c3dec79596a3f688f394a3cf0d95059c135ae6d5035f2,command_and_control,,0
191.146.236.38,rrsrbvux9o2g4i.xyz,,ransomware,Phishing email targeting employees with fake login page,1
168.33.215.190,4sym.buzz,aabf0a63a2382d5b842b94796633c73d74013282cc220e42f49ee8af7b535021,other,Data exfiltration via DNS tunnelling detected,1
,,,other,Suspicious outbound traffic to known C2 server,1
42.127.11.124,,,phishing,Botnet command-and-control beacon every 60 seconds,1
238.88.116.142,,534a8e010c5c8e99f09dddf04dcde9ec9c093c7fd6cbb4a78ed111dfe267477a,command_and_control,Phishing email targeting employees with fake login page,1
174.91.198.69,c0mlfbk6nh.buzz,,data_exfiltration,Brute force SSH attempts from this IP,1
118.21.171.77,,,malware,,0
26.4.251.144,,,ransomware,Phishing email targeting employees with fake login page,1
25.63.136.78,qfdtzbfy1a.tk,803b793662e4468ef71d5865847967f967fcd417ba1e6825b06fafeb2bcefa46,brute_force,Drive-by download serving banking trojan,1
,,dc7bb58934b4cb83f6241bc45d2a9ae005db00ae5c629ccdab746684a1d6bd0f,command_and_control,Data exfiltration via DNS tunnelling detected,1
209.25.125.53,,,command_and_control,,0
128.126.138.63,,,data_exfiltration,Botnet command-and-control beacon every 60 seconds,1
156.99.223.233,hwgt9aaszn.top,,ransomware,Data exfiltration via DNS tunnelling detected,1
,d1v5ki6jsrxoyjc2d.gov,,malware,123,0
,,,phishing,,0
,,,malware,,0
96.47.122.46,,,data_exfiltration,hello world,0
188.238.217.28,,,ransomware,123,0
52.215.198.29,s17indzyn6yo.tk,,other,Phishing email targeting employees with fake login page,1
254.163.211.150,4zhjm2nzwm3zetuq7t.tk,,brute_force,Phishing email targeting employees with fake login page,1
,,bec9056b43bc60a505eb5dda880ccbf4,ransomware,Malicious macro in Office document,1
,,,brute_force,test,0
,,,malware,Malicious macro in Office document,1
,,,brute_force,,0
,,,data_exfiltration,,0
239.95.9.180,fal45ovt5w2be89z7j1.ru,c38eae998811898bb621e65e35b5487f6d875362745195c2a17c41ddac9efaae,data_exfiltration,Drive-by download serving banking trojan,1
252.235.235.206,3y6p3k0a2smr0ten91ml.top,f7421d1f93c24618a8189c9f09ea008db5c643fb532cf0fc4d91e30b80b593de,brute_force,Domain hosting exploit kit distributing malware,1
235.76.234.11,uwqwmw1kv4rcdlc.top,,phishing,Suspicious outbound traffic to known C2 server,1
,,a83391087d0c1007dde7547d685dafa4,denial_of_service,Suspicious outbound traffic to known C2 server,1
,,,data_exfiltration,Data exfiltration via DNS tunnelling detected,1
,nh6vhdv0xn2cobos4y.cc,,other,,1
101.88.21.39,1r88.cc,,command_and_control,Botnet command-and-control beacon every 60 seconds,1
,,191dbe7b928e807e6dbce9e1430de093,data_exfiltration,,1
,,,ransomware,,0
41.46.88.168,,0575abb3aca30a2c9f3d529bbc17c405,phishing,Phishing email targeting employees with fake login page,1
,,,phishing,,0
67.14.68.203,,,malware,not sure,0
253.136.99.126,,02ae72c6380d844160377dd2b91b8f58,malware,unknown,0
169.102.8.122,ttfxv9os3tgeomy7x39x.ru,b4b7f4d7cefe78e0e1f03b8dcc844bde,phishing,Brute force SSH attempts from this IP,1
,,,denial_of_service,,0
,,,denial_of_service,,0
211.167.239.137,8iv017khyq75f47.xyz,,brute_force,,1
244.186.135.138,wtjwq2of.xyz,fa6101ff0fc904086fcd857a60f6177517d47973e0aef6d5a6eb90f9d884fe24,data_exfiltration,Credential harvesting page impersonating corporate SSO,1
219.251.231.84,wn1l.ru,,malware,Credential harvesting page impersonating corporate SSO,1
,,,command_and_control,,0
148.197.90.155,,,command_and_control,,0
,,7fb7610e182ec86c183073942f662b62034e0967e776634862ad7fd9e144ca33,command_and_control,,0
139.151.25.200,,,data_exfiltration,,0
,,,denial_of_service,,0
184.169.80.202,o9ix.buzz,3604cb6c4272a90e9bfc8b8db33d854f7d78795c3ad63d4e8aab23bd31d52217,phishing,Data exfiltration via DNS tunnelling detected,1
103.140.124.38,,,brute_force,,0
42.119.17.172,,128e69334929d2e71be51e83a723ffd5,brute_force,Botnet command-and-control beacon every 60 seconds,1
63.146.34.113,xdnstz4pc17l36.org,,data_exfiltration,hello world,0
,y6k5enlr6.tk,,malware,Malicious macro in Office document,1
245.102.34.154,,,denial_of_service,Phishing email targeting employees with fake login page,1
247.254.73.54,5fbza.ru,da01b1bbd2656dbbf6b6011d09ab09632361fd6a805652f3d999bc70c7c8365a,other,,1
21.8.196.35,,38da2a5f7a2283e9bd698315790d4b410924ec88e88565d0c089ecd6f602cc7e,phishing,,0
,,,malware,,0
230.211.135.68,fw6p.top,8cbf2e353e4de0e4583c7967853b89c14105143b6b227c4d88e3c6100adb0ceb,malware,Botnet command-and-control beacon every 60 seconds,1
,,,command_and_control,,0
141.237.34.42,,968ec4d05e15d63efbe3507ea308fd5513f9515642a04639a47c1857aa4d19c4,ransomware,,1
57.169.38.245,,,other,,1
,igpcxwmwp.tk,,malware,,1
253.140.243.91,3o1cbl7a.buzz,,other,Phishing email targeting employees with fake login page,1
108.252.189.193,,,brute_force,,0
,rxwjrjyg4sa.cc,3d81291573ed2ccc6b4a97b5df0eb3807e4c762255783581d94ebd827f551b8f,phishing,Phishing email targeting employees with fake login page,1
138.159.241.187,1ua3ibqvz4h.ru,7c5219548aef9b0ad281a9bfc401b94c,denial_of_service,Credential harvesting page impersonating corporate SSO,1
9.202.80.231,,,malware,hello world,0
,,,malware,not sure,0
194.124.189.121,,d19a9d8329516f23fdb3789c29f46b07741ac5a903fba5b5cdfeb880a7130d92,brute_force,Ransomware dropper detected in email attachment,1
147.51.36.228,,,other,Domain hosting exploit kit distributing malware,1
,,212b8297f57306b1d5fcac2503b78043b73d1cf369a72556f9fbb863817d382f,brute_force,,0
116.239.87.74,,,denial_of_service,Suspicious outbound traffic to known C2 server,1
171.173.64.64,z5up.buzz,,denial_of_service,,1
102.120.38.1,plt5vzejbnlnor3.ru,275f99d9c341dcda9b5261abda67a04e,command_and_control,Data exfiltration via DNS tunnelling detected,1
,,,ransomware,just checking,0
162.162.219.32,,,brute_force,Suspicious outbound traffic to known C2 server,1
228.254.38.150,,3356b0c66a6e82d8b457198a2c9b8eae48fbdfce713fbd34e3809522cd1f8820,command_and_control,Suspicious outbound traffic to known C2 server,1
